problem,cost_function,qubits,layers,entanglement,seed,test_accuracy,summary_path,image_path
non convex,fidelity_chi,1,1,not_entangled,30,0.49025000,fidelity_chi/non_convex/1_qubits/1_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/non_convex/1_qubits/1_layers/L-BFGS-B/appendix_seed_30.png
non convex,fidelity_chi,2,1,not_entangled,30,0.55025000,fidelity_chi/non_convex/2_qubits/not_entangled/1_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/non_convex/2_qubits/not_entangled/1_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,1,1,not_entangled,30,0.48975000,weighted_fidelity_chi/non_convex/1_qubits/1_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/1_qubits/1_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,2,1,not_entangled,30,0.75575000,weighted_fidelity_chi/non_convex/2_qubits/not_entangled/1_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/2_qubits/not_entangled/1_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,4,1,not_entangled,30,0.75550000,weighted_fidelity_chi/non_convex/4_qubits/not_entangled/1_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/4_qubits/not_entangled/1_layers/L-BFGS-B/appendix_seed_30.png
non convex,fidelity_chi,1,2,not_entangled,30,0.82075000,fidelity_chi/non_convex/1_qubits/2_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/non_convex/1_qubits/2_layers/L-BFGS-B/appendix_seed_30.png
non convex,fidelity_chi,2,2,entangled,30,0.74950000,fidelity_chi/non_convex/2_qubits/entangled/2_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/non_convex/2_qubits/entangled/2_layers/L-BFGS-B/appendix_seed_30.png
non convex,fidelity_chi,2,2,not_entangled,30,0.74850000,fidelity_chi/non_convex/2_qubits/not_entangled/2_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/non_convex/2_qubits/not_entangled/2_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,1,2,not_entangled,30,0.86250000,weighted_fidelity_chi/non_convex/1_qubits/2_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/1_qubits/2_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,2,2,entangled,30,0.85425000,weighted_fidelity_chi/non_convex/2_qubits/entangled/2_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/2_qubits/entangled/2_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,2,2,not_entangled,30,0.94750000,weighted_fidelity_chi/non_convex/2_qubits/not_entangled/2_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/2_qubits/not_entangled/2_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,4,2,entangled,30,0.95775000,weighted_fidelity_chi/non_convex/4_qubits/entangled/2_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/4_qubits/entangled/2_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,4,2,not_entangled,30,0.96250000,weighted_fidelity_chi/non_convex/4_qubits/not_entangled/2_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/4_qubits/not_entangled/2_layers/L-BFGS-B/appendix_seed_30.png
non convex,fidelity_chi,1,3,not_entangled,30,0.89325000,fidelity_chi/non_convex/1_qubits/3_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/non_convex/1_qubits/3_layers/L-BFGS-B/appendix_seed_30.png
non convex,fidelity_chi,2,3,entangled,30,0.84825000,fidelity_chi/non_convex/2_qubits/entangled/3_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/non_convex/2_qubits/entangled/3_layers/L-BFGS-B/appendix_seed_30.png
non convex,fidelity_chi,2,3,not_entangled,30,0.74025000,fidelity_chi/non_convex/2_qubits/not_entangled/3_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/non_convex/2_qubits/not_entangled/3_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,1,3,not_entangled,30,0.95500000,weighted_fidelity_chi/non_convex/1_qubits/3_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/1_qubits/3_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,2,3,entangled,30,0.94875000,weighted_fidelity_chi/non_convex/2_qubits/entangled/3_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/2_qubits/entangled/3_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,2,3,not_entangled,30,0.94925000,weighted_fidelity_chi/non_convex/2_qubits/not_entangled/3_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/2_qubits/not_entangled/3_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,4,3,entangled,30,0.97400000,weighted_fidelity_chi/non_convex/4_qubits/entangled/3_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/4_qubits/entangled/3_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,4,3,not_entangled,30,0.95000000,weighted_fidelity_chi/non_convex/4_qubits/not_entangled/3_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/4_qubits/not_entangled/3_layers/L-BFGS-B/appendix_seed_30.png
non convex,fidelity_chi,1,4,not_entangled,30,0.74575000,fidelity_chi/non_convex/1_qubits/4_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/non_convex/1_qubits/4_layers/L-BFGS-B/appendix_seed_30.png
non convex,fidelity_chi,2,4,entangled,30,0.88425000,fidelity_chi/non_convex/2_qubits/entangled/4_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/non_convex/2_qubits/entangled/4_layers/L-BFGS-B/appendix_seed_30.png
non convex,fidelity_chi,2,4,not_entangled,30,0.74175000,fidelity_chi/non_convex/2_qubits/not_entangled/4_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/non_convex/2_qubits/not_entangled/4_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,1,4,not_entangled,30,0.95250000,weighted_fidelity_chi/non_convex/1_qubits/4_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/1_qubits/4_layers/L-BFGS-B/appendix_seed_30.png
