point,label,prediction,correct,margin,score_0,score_1
0,0,0,1,0.6582591944687075,0.8717574752477973,0.2134982807790899
1,0,0,1,0.8114977608224163,0.9458916477543439,0.1343938869319276
2,1,1,1,0.4215347844113607,0.3493717925401374,0.7709065769514981
3,1,1,1,0.030819948472099457,0.5383928838855745,0.569212832357674
4,0,0,1,0.9260987347187802,1.0013336201664387,0.07523488544765844
5,1,1,1,0.09632627526896076,0.5067020540469593,0.6030283293159201
6,0,0,1,0.827178914827724,0.9534779193032951,0.12629900447557105
7,1,1,1,1.1407621784613207,0.0014219978464130023,1.1421841763077336
8,0,0,1,0.9949716545806182,1.0346531496005738,0.039681495019955555
9,1,0,0,0.20576543948478904,0.6528488095749349,0.4470833700901458
10,0,0,1,0.8064957128818161,0.9434717433285968,0.13697603044678072
11,0,0,1,0.9758909645386767,1.0254222412152252,0.04953127667654845
12,0,0,1,1.070650357052154,1.0712651991491609,0.0006148420970068074
13,0,0,1,0.8814430968481034,0.9797299936116637,0.09828689676356032
14,1,1,1,1.1297595928365352,0.006744858795419522,1.1365044516319547
15,1,1,1,0.4716981103262195,0.3251036416081429,0.7968017519343624
16,1,1,1,1.0960144900084796,0.02307015688344661,1.1190846468919262
17,0,0,1,0.12005641000998313,0.6113842610109163,0.4913278510009331
18,0,0,1,0.07610666711222858,0.5901221342556978,0.5140154671434692
19,1,1,1,0.9191220904187083,0.10864764549043064,1.027769735909139
20,0,0,1,0.5579790007404055,0.8232436490111039,0.26526464827069846
21,0,0,1,0.34680548729850186,0.7210815494376848,0.3742760621391829
22,1,1,1,0.8927947668947736,0.12138435003029137,1.014179116925065
23,0,0,1,0.8958344735225686,0.9866922931579076,0.09085781963533905
24,0,0,1,0.7329130924913692,0.9078737420988164,0.17496064960744726
25,0,0,1,0.9150082493882167,0.995968234857498,0.08095998546928132
26,0,0,1,0.46069977036333687,0.7761816370275708,0.31548186666423395
27,0,0,1,0.9229653205134736,0.9998177284770419,0.0768524079635683
28,1,1,1,0.8563578120109961,0.13901191966398388,0.99536973167498
29,1,1,1,0.052051862267331384,0.5281212505925125,0.5801731128598439
30,0,0,1,0.7526841892386699,0.9174386573273028,0.16475446808863292
31,0,0,1,0.6402385953931379,0.8630394205679074,0.22280082517476948
32,1,1,1,0.6304448299310453,0.24830471966529422,0.8787495495963396
33,0,0,1,0.8809506869765691,0.9794917742180158,0.09854108724144675
34,1,1,1,1.0379122607538191,0.051179012174076124,1.0890912729278952
35,1,1,1,0.01269284711486307,0.5471624625304121,0.5598553096452752
36,1,1,1,0.1566511286267886,0.47751793159218087,0.6341690602189695
37,0,0,1,0.7559428086230456,0.9190151211204767,0.16307231249743104
38,0,0,1,0.8739259833786513,0.9760933439094646,0.10216736053081321
39,0,0,1,1.0042579035585588,1.039145676514982,0.03488777295642321
40,0,0,1,0.9436875433195677,1.009842782070144,0.06615523875057636
41,1,0,0,0.06345708884081858,0.5840024867020709,0.5205453978612523
42,0,0,1,0.612458699003376,0.8495999863564246,0.23714128735304865
43,0,0,1,0.9445410250791342,1.0102556818087702,0.06571465672963607
44,0,0,1,1.069153193943172,1.0705408974878186,0.0013877035446464752
45,0,0,1,1.0088120443366022,1.041348891189278,0.03253684685267587
46,0,0,1,0.61066946735491,0.8487343869786846,0.23806491962377457
47,0,1,0,0.021548591828024044,0.5428782061459976,0.5644267979740216
48,1,1,1,1.1005356403044508,0.020882902434746744,1.1214185427391976
49,0,0,1,1.0149590218598004,1.0443226927781468,0.029363670918346435
50,1,1,1,0.8674613194768368,0.13364023447084292,1.0011015539476797
51,1,1,1,1.0605738173316714,0.04021574238772502,1.1007895597193964
52,0,0,1,0.4613463279076775,0.7764944304037299,0.3151481024960524
53,0,0,1,0.8258459004006933,0.9528330299400057,0.12698712953931243
54,1,1,1,0.32347795754287345,0.3968099922798406,0.720287949822714
55,0,0,1,1.031961730710923,1.052548309742862,0.02058657903193899
56,0,0,1,1.0590866486657866,1.0656708766967333,0.006584228030946656
