point,label,prediction,correct,margin,score_0,score_1
0,0,0,1,0.8197801305273438,0.9498985152099609,0.1301183846826172
1,0,0,1,1.0685959858007812,1.0702713298095703,0.0016753440087890626
2,1,1,1,0.017539312871093782,0.5448178260791016,0.5623571389501953
3,0,0,1,1.0004420776171874,1.0372996458105468,0.03685756819335938
4,1,0,0,0.0765779889062499,0.5903501516015625,0.5137721626953126
5,0,0,1,0.63046371890625,0.8583105041015625,0.2278467851953125
6,1,1,1,1.0463387840234377,0.04710240571289062,1.0934411897363283
7,1,1,1,1.1058382276757812,0.018317602221679687,1.124155829897461
8,1,1,1,1.10042918734375,0.0209344025390625,1.1213635898828125
9,0,0,1,0.4584562363476562,0.775096254008789,0.3166400176611328
10,0,0,1,0.9128156242382812,0.9949074806689453,0.08209185643066406
11,1,1,1,0.4632442362304688,0.3291934799267578,0.7924377161572266
12,1,0,0,0.2767124811914062,0.6871717633447265,0.41045928215332034
13,1,1,1,0.8689222611328127,0.13293345612304688,1.0018557172558595
14,1,0,0,0.38056605556640616,0.7374143294384765,0.35684827387207035
15,1,1,1,0.5151710234179687,0.3040721968798828,0.8192432202978516
16,0,0,1,0.6629179608984375,0.8740113060058594,0.2110933451074219
17,0,0,1,0.6164002140429687,0.8515068232763672,0.23510660923339846
18,0,0,1,1.0058511179492189,1.0399164461279298,0.03406532817871094
19,0,0,1,0.48982867027343746,0.7902736958496094,0.3004450255761719
20,1,0,0,0.12525935189453125,0.6139013544580079,0.4886420025634766
21,1,1,1,0.4394444587695313,0.3407074013232422,0.7801518600927735
22,1,1,1,0.8105046255468751,0.16119489955078126,0.9716995250976563
23,0,0,1,0.9160610484375,0.996477560859375,0.080416512421875
24,1,1,1,0.5735886590039063,0.27581075345214845,0.8493994124560548
25,0,0,1,0.678063273828125,0.8813383468945313,0.20327507306640627
26,1,1,1,1.070138561484375,0.03558848431640625,1.1057270458007813
27,1,0,0,0.13283200835937503,0.6175648749023438,0.48473286654296877
28,1,1,1,0.9338307451171876,0.10153185231445312,1.0353625974316407
29,0,0,1,0.7353991013476562,0.909076430258789,0.17367732891113283
30,1,1,1,0.7380234850976564,0.19626002380371094,0.9342835089013672
31,1,1,1,0.1516835131054688,0.47992117820800784,0.6316046913134766
32,0,0,1,1.0155873905468749,1.0446266866992187,0.02903929615234375
33,0,0,1,0.9777241082226563,1.026309084477539,0.04858497625488282
34,0,0,1,0.9690696436914064,1.0221222039697266,0.05305256027832032
35,0,0,1,0.9268791291015623,1.0017111614941405,0.07483203239257813
36,0,0,1,0.3459481974414062,0.7206668074072266,0.37471860996582035
37,0,0,1,1.0101783502148436,1.042009886381836,0.03183153616699219
38,0,0,1,0.6877995464257812,0.8860485874658203,0.19824904104003907
39,1,1,1,0.006721232207031247,0.5500514267138672,0.5567726589208984
40,0,0,1,0.6369545673046875,0.8614506644824219,0.2244960971777344
41,1,1,1,0.9511396741796876,0.09315809129882813,1.0442977654785157
42,0,0,1,0.025733009785156247,0.5657522286181641,0.5400192188330079
43,0,0,1,0.9485152904296874,1.0121783627636718,0.06366307233398438
44,0,0,1,0.5579825784570311,0.8232453798486328,0.2652628013916016
45,1,1,1,1.052829632421875,0.04396224533203125,1.0967918777539063
46,0,0,1,0.22803111820312494,0.6636205604882812,0.4355894422851563
47,1,1,1,0.47514412496093755,0.32343651922851563,0.7985806441894532
48,1,0,0,0.047369171113281205,0.5762194298876953,0.528850258774414
49,1,1,1,0.47838954916015636,0.3218664390380859,0.8002559881982423
50,1,1,1,0.36804512638671877,0.3752491655126953,0.7432942918994141
51,1,0,0,0.21072218914062502,0.6552467994726563,0.4445246103320313
52,1,1,1,0.07595694845703127,0.5165563826513672,0.5925133311083984
53,1,1,1,0.7434325254296876,0.19364322348632812,0.9370757489160157
54,0,0,1,1.032896319609375,1.0530004477148438,0.02010412810546875
55,1,1,1,1.10042918734375,0.0209344025390625,1.1213635898828125
56,1,1,1,0.2717642084765625,0.4218282111621094,0.6935924196386719
57,1,1,1,0.8916402305273438,0.12194289479003906,1.0135831253173828
58,1,1,1,0.3907630957812501,0.3642586041796875,0.7550216999609376
59,0,0,1,0.340539157109375,0.7180500070898438,0.3775108499804688
60,0,0,1,0.8457435241210938,0.9624591567333984,0.11671563261230469
61,1,1,1,1.039847935625,0.050242566093749996,1.09009050171875
62,0,0,1,0.6856359302929688,0.8850018673388672,0.19936593704589844
63,1,0,0,0.11335946316406242,0.6081443937597656,0.49478493059570317
64,0,0,1,0.24966727953124995,0.6740877617578125,0.42442048222656253
65,1,0,0,0.2247856940039062,0.6620504802978515,0.43726478629394533
66,0,0,1,0.4811742057421875,0.7860868153417969,0.3049126095996094
67,1,1,1,0.23281911808593758,0.44066917344726564,0.6734882915332032
68,0,0,1,0.9539243307617188,1.0147951630810548,0.06087083231933594
69,0,0,1,0.695372202890625,0.8897121079101562,0.19433990501953127
70,1,0,0,0.038714706582031244,0.5720325493798828,0.5333178427978515
71,0,0,1,0.7916531208007812,0.9362911535595703,0.1446380327587891
72,1,1,1,0.9176036241210939,0.10938225326660156,1.0269858773876954
73,0,0,1,1.0566960970703125,1.0645143691113281,0.007818272041015626
74,0,0,1,0.9074065839062501,0.9922906803515625,0.0848840964453125
