model_id,source_config_id,seed,optimization_level,n_points,median_target_depth,median_rz,median_sx,median_x,median_cz,max_probability_error,all_probability_parity,all_label_parity
l4-base,1q-l4-paper_squared,30,0,100,20.0,12.0,8.0,0.0,0.0,1.3322676295501878e-15,True,True
l4-base,1q-l4-paper_squared,30,3,100,5.0,3.0,2.0,0.0,0.0,1.1102230246251565e-15,True,True
l4-base,1q-l4-paper_squared,31,0,100,20.0,12.0,8.0,0.0,0.0,1.6653345369377348e-15,True,True
l4-base,1q-l4-paper_squared,31,3,100,5.0,3.0,2.0,0.0,0.0,1.6653345369377348e-15,True,True
l4-base,1q-l4-paper_squared,32,0,100,20.0,12.0,8.0,0.0,0.0,1.5543122344752192e-15,True,True
l4-base,1q-l4-paper_squared,32,3,100,5.0,3.0,2.0,0.0,0.0,1.2212453270876722e-15,True,True
l4-base,1q-l4-paper_squared,33,0,100,20.0,12.0,8.0,0.0,0.0,1.6653345369377348e-15,True,True
l4-base,1q-l4-paper_squared,33,3,100,5.0,3.0,2.0,0.0,0.0,1.5543122344752192e-15,True,True
l4-base,1q-l4-paper_squared,34,0,100,20.0,12.0,8.0,0.0,0.0,2.4424906541753444e-15,True,True
l4-base,1q-l4-paper_squared,34,3,100,5.0,3.0,2.0,0.0,0.0,1.9984014443252818e-15,True,True
l4-to-l3-pruned,l4-to-l3-pruned,30,0,100,15.0,9.0,6.0,0.0,0.0,1.887379141862766e-15,True,True
l4-to-l3-pruned,l4-to-l3-pruned,30,3,100,5.0,3.0,2.0,0.0,0.0,1.4432899320127035e-15,True,True
l4-to-l3-pruned,l4-to-l3-pruned,31,0,100,15.0,9.0,6.0,0.0,0.0,1.3322676295501878e-15,True,True
l4-to-l3-pruned,l4-to-l3-pruned,31,3,100,5.0,3.0,2.0,0.0,0.0,1.4432899320127035e-15,True,True
l4-to-l3-pruned,l4-to-l3-pruned,32,0,100,15.0,9.0,6.0,0.0,0.0,1.4432899320127035e-15,True,True
l4-to-l3-pruned,l4-to-l3-pruned,32,3,100,5.0,3.0,2.0,0.0,0.0,9.992007221626409e-16,True,True
l4-to-l3-pruned,l4-to-l3-pruned,33,0,100,15.0,9.0,6.0,0.0,0.0,1.3322676295501878e-15,True,True
l4-to-l3-pruned,l4-to-l3-pruned,33,3,100,5.0,3.0,2.0,0.0,0.0,1.2212453270876722e-15,True,True
l4-to-l3-pruned,l4-to-l3-pruned,34,0,100,15.0,9.0,6.0,0.0,0.0,1.2212453270876722e-15,True,True
l4-to-l3-pruned,l4-to-l3-pruned,34,3,100,5.0,3.0,2.0,0.0,0.0,1.3322676295501878e-15,True,True
l4-truncate-last,l4-truncate-last,30,0,100,15.0,9.0,6.0,0.0,0.0,1.5543122344752192e-15,True,True
l4-truncate-last,l4-truncate-last,30,3,100,5.0,3.0,2.0,0.0,0.0,1.2212453270876722e-15,True,True
l4-truncate-last,l4-truncate-last,31,0,100,15.0,9.0,6.0,0.0,0.0,1.4432899320127035e-15,True,True
l4-truncate-last,l4-truncate-last,31,3,100,5.0,3.0,2.0,0.0,0.0,1.3877787807814457e-15,True,True
l4-truncate-last,l4-truncate-last,32,0,100,15.0,9.0,6.0,0.0,0.0,1.3322676295501878e-15,True,True
l4-truncate-last,l4-truncate-last,32,3,100,5.0,3.0,2.0,0.0,0.0,1.1102230246251565e-15,True,True
l4-truncate-last,l4-truncate-last,33,0,100,15.0,9.0,6.0,0.0,0.0,1.3322676295501878e-15,True,True
l4-truncate-last,l4-truncate-last,33,3,100,5.0,3.0,2.0,0.0,0.0,1.2212453270876722e-15,True,True
l4-truncate-last,l4-truncate-last,34,0,100,15.0,9.0,6.0,0.0,0.0,1.1102230246251565e-15,True,True
l4-truncate-last,l4-truncate-last,34,3,100,5.0,3.0,2.0,0.0,0.0,1.4432899320127035e-15,True,True
l3-scratch,l3-scratch,30,0,100,15.0,9.0,6.0,0.0,0.0,1.3877787807814457e-15,True,True
l3-scratch,l3-scratch,30,3,100,5.0,3.0,2.0,0.0,0.0,1.27675647831893e-15,True,True
l3-scratch,l3-scratch,31,0,100,15.0,9.0,6.0,0.0,0.0,1.4988010832439613e-15,True,True
l3-scratch,l3-scratch,31,3,100,5.0,3.0,2.0,0.0,0.0,1.4988010832439613e-15,True,True
l3-scratch,l3-scratch,32,0,100,15.0,9.0,6.0,0.0,0.0,1.1102230246251565e-15,True,True
l3-scratch,l3-scratch,32,3,100,5.0,3.0,2.0,0.0,0.0,9.992007221626409e-16,True,True
l3-scratch,l3-scratch,33,0,100,15.0,9.0,6.0,0.0,0.0,1.3322676295501878e-15,True,True
l3-scratch,l3-scratch,33,3,100,5.0,3.0,2.0,0.0,0.0,1.3322676295501878e-15,True,True
l3-scratch,l3-scratch,34,0,100,15.0,9.0,6.0,0.0,0.0,1.0547118733938987e-15,True,True
l3-scratch,l3-scratch,34,3,100,5.0,3.0,2.0,0.0,0.0,8.881784197001252e-16,True,True
