model_id,comparison,training_seed,repeat_count,paired_accuracy_delta_mean,paired_accuracy_delta_sample_sd,across_training_seeds_mean,across_training_seeds_sample_sd
l4-base,adaptive-minus-fixed-128,30,100,0.002090000000000002,0.004733493381843861,0.002408000000000002,0.0008078799415754801
l4-base,adaptive-minus-fixed-128,31,100,0.002480000000000002,0.004766211039889832,0.002408000000000002,0.0008078799415754801
l4-base,adaptive-minus-fixed-128,32,100,0.0028500000000000027,0.0038726573237861848,0.002408000000000002,0.0008078799415754801
l4-base,adaptive-minus-fixed-128,33,100,0.001240000000000001,0.003962246072544456,0.002408000000000002,0.0008078799415754801
l4-base,adaptive-minus-fixed-128,34,100,0.003380000000000003,0.004951848955774815,0.002408000000000002,0.0008078799415754801
l4-base,adaptive-minus-fixed-512,30,100,0.0003700000000000003,0.002890789972769845,0.0007380000000000006,0.0004867442860476129
l4-base,adaptive-minus-fixed-512,31,100,0.0006900000000000006,0.003463212148257511,0.0007380000000000006,0.0004867442860476129
l4-base,adaptive-minus-fixed-512,32,100,0.0014500000000000012,0.0030989571396738244,0.0007380000000000006,0.0004867442860476129
l4-base,adaptive-minus-fixed-512,33,100,0.0002300000000000002,0.002666117367668166,0.0007380000000000006,0.0004867442860476129
l4-base,adaptive-minus-fixed-512,34,100,0.0009500000000000009,0.0035742485259495525,0.0007380000000000006,0.0004867442860476129
l4-base,adaptive-minus-fixed-2048,30,100,-2.000000000000002e-05,0.00031718458443950393,-4.400000000000004e-05,4.8270073544588724e-05
l4-base,adaptive-minus-fixed-2048,31,100,-5.000000000000004e-05,0.000329523684408054,-4.400000000000004e-05,4.8270073544588724e-05
l4-base,adaptive-minus-fixed-2048,32,100,-6.0000000000000056e-05,0.00023868325657594222,-4.400000000000004e-05,4.8270073544588724e-05
l4-base,adaptive-minus-fixed-2048,33,100,2.000000000000002e-05,0.000347574568701568,-4.400000000000004e-05,4.8270073544588724e-05
l4-base,adaptive-minus-fixed-2048,34,100,-0.0001100000000000001,0.0003993681878855022,-4.400000000000004e-05,4.8270073544588724e-05
l4-to-l3-pruned,adaptive-minus-fixed-128,30,100,0.00029000000000000027,0.004374616866340727,0.0017340000000000016,0.0008758310339329164
l4-to-l3-pruned,adaptive-minus-fixed-128,31,100,0.0019900000000000018,0.0047598807386808216,0.0017340000000000016,0.0008758310339329164
l4-to-l3-pruned,adaptive-minus-fixed-128,32,100,0.0017900000000000017,0.004599725507840091,0.0017340000000000016,0.0008758310339329164
l4-to-l3-pruned,adaptive-minus-fixed-128,33,100,0.0026700000000000022,0.004503769465008109,0.0017340000000000016,0.0008758310339329164
l4-to-l3-pruned,adaptive-minus-fixed-128,34,100,0.0019300000000000018,0.004930332830365701,0.0017340000000000016,0.0008758310339329164
l4-to-l3-pruned,adaptive-minus-fixed-512,30,100,-0.0007900000000000007,0.0032607088527224016,0.00046200000000000044,0.0007080042372754565
l4-to-l3-pruned,adaptive-minus-fixed-512,31,100,0.0008600000000000007,0.004156095681421609,0.00046200000000000044,0.0007080042372754565
l4-to-l3-pruned,adaptive-minus-fixed-512,32,100,0.0006900000000000006,0.0034191823702177837,0.00046200000000000044,0.0007080042372754565
l4-to-l3-pruned,adaptive-minus-fixed-512,33,100,0.0009000000000000008,0.0033978602892783226,0.00046200000000000044,0.0007080042372754565
l4-to-l3-pruned,adaptive-minus-fixed-512,34,100,0.0006500000000000006,0.0033676266258166315,0.00046200000000000044,0.0007080042372754565
l4-to-l3-pruned,adaptive-minus-fixed-2048,30,100,3.0000000000000028e-05,0.0003319668962442195,1.4000000000000012e-05,5.594640292279751e-05
l4-to-l3-pruned,adaptive-minus-fixed-2048,31,100,6.0000000000000056e-05,0.0003974667256259299,1.4000000000000012e-05,5.594640292279751e-05
l4-to-l3-pruned,adaptive-minus-fixed-2048,32,100,5.000000000000004e-05,0.0002972941950052818,1.4000000000000012e-05,5.594640292279751e-05
l4-to-l3-pruned,adaptive-minus-fixed-2048,33,100,1.000000000000001e-05,0.00036223213718846294,1.4000000000000012e-05,5.594640292279751e-05
l4-to-l3-pruned,adaptive-minus-fixed-2048,34,100,-8.000000000000007e-05,0.00036735472631980006,1.4000000000000012e-05,5.594640292279751e-05
