point,label,prediction,correct,margin,score_0,score_1
0,0,0,1,0.781916848203125,0.9315809129882813,0.14966406478515626
1,0,0,1,1.037223551875,1.05509388796875,0.01787033609375
2,1,1,1,0.013212080605468857,0.5469112663330078,0.5601233469384767
3,0,0,1,0.9950330372851562,1.034682845493164,0.039649808208007814
4,1,0,0,0.04845097917968744,0.5767427899511719,0.5282918107714845
5,0,0,1,0.5698824671875,0.829002340546875,0.25911987335937503
6,1,1,1,1.0214571984960938,0.05913968717285156,1.0805968856689454
7,1,1,1,1.082038450214844,0.029831523618164064,1.111869973833008
8,1,1,1,1.0755476018164063,0.032971683999023435,1.1085192858154298
9,0,0,1,0.39462956042968744,0.7442180102636718,0.3495884498339844
10,0,0,1,0.9052429677734375,0.9912439602246094,0.08600099245117188
11,1,1,1,0.4372808426367188,0.3417541214501953,0.7790349640869141
12,1,0,0,0.2561581279296875,0.6772279221386719,0.4210697942089844
13,1,1,1,0.8332225949414063,0.15020433821777343,0.9834269331591797
14,1,0,0,0.4130202975585937,0.7531151313427734,0.3400948337841797
15,1,1,1,0.4946166701562501,0.3140160380859375,0.8086327082421876
16,0,0,1,0.6034185172460937,0.8452265025146485,0.2418079852685547
17,0,0,1,0.548246305859375,0.8185351392773438,0.2702888334179688
18,0,0,1,0.9939512292187499,1.0341594854296874,0.0402082562109375
19,0,0,1,0.4389836911523437,0.7656757728662109,0.3266920817138672
20,1,0,0,0.0992959583007812,0.6013407129345703,0.5020447546337891
21,1,1,1,0.43511722650390633,0.34280084157714846,0.7779180680810548
22,1,1,1,0.7921138884179688,0.17009202062988282,0.9622059090478516
23,0,0,1,0.9160610484375,0.996477560859375,0.080416512421875
24,1,1,1,0.5649341944726564,0.2799976339599609,0.8449318284326173
25,0,0,1,0.6542634963671874,0.8698244254980468,0.2155609291308594
26,1,1,1,1.0387661275585938,0.05076592615722656,1.0895320537158204
27,1,0,0,0.16853167455078116,0.6348357569970703,0.4663040824462891
28,1,1,1,0.8775767256640625,0.12874657561523437,1.006323301279297
29,0,0,1,0.729990061015625,0.9064596299414063,0.17646956892578125
30,1,1,1,0.6666241527148438,0.23080178799316406,0.8974259407080079
31,1,1,1,0.14627447277343752,0.4825379785253906,0.6288124512988281
32,0,0,1,0.9863785727539063,1.0304959649853516,0.04411739223144531
33,0,0,1,0.9625787952929687,1.0189820435888672,0.05640324829589844
34,0,0,1,0.9420244420312499,1.0090382023828124,0.0670137603515625
35,0,0,1,0.9041611597070313,0.9907206001611328,0.08655944045410156
36,0,0,1,0.3481118135742188,0.7217135275341797,0.37360171395996095
37,0,0,1,0.9712332598242187,1.0231689240966797,0.05193566427246094
38,0,0,1,0.6715724254296875,0.8781981865136719,0.2066257610839844
39,1,0,0,0.007342272656249982,0.5568551075390625,0.5495128348828126
40,0,0,1,0.56122800265625,0.8248154600390625,0.26358745738281253
41,1,1,1,0.9457306338476563,0.09577489161621093,1.0415055254638672
42,0,1,0,0.011048464472656283,0.547957986459961,0.5590064509326172
43,0,0,1,0.9182246645703125,0.9975242809863282,0.07929961641601563
44,0,0,1,0.5406736493945312,0.8148716188330078,0.2741979694384766
45,1,1,1,1.0409297436914065,0.04971920603027344,1.0906489497216798
46,0,0,1,0.19016783587890623,0.6453029582666016,0.4551351223876953
47,1,1,1,0.4318718023046876,0.3443709217675781,0.7762427240722657
48,1,0,0,0.025733009785156247,0.5657522286181641,0.5400192188330079
