point,label,prediction,correct,margin,score_0,score_1
0,0,0,1,0.3577039051074645,0.6788519504878605,0.321148045380396
1,0,0,1,0.7903625554306485,0.8951812731945016,0.10481871776385307
2,1,0,0,0.17057796461706692,0.5852889789847259,0.41471101436765895
3,1,0,0,0.27632371997142535,0.6381618577129363,0.36183813774151097
4,0,0,1,0.6161190233980002,0.8080595088143064,0.19194048541630623
5,1,1,1,0.5273993713505086,0.23630031283257158,0.7636996841830802
6,1,1,1,0.5063893120794767,0.24680534253701594,0.7531946546164926
7,0,1,0,0.2786153340334552,0.3606923314994196,0.6393076655328748
8,0,1,0,0.035462916690294444,0.48226853793950974,0.5177314546298042
9,0,1,0,0.15485328825254924,0.42257334969025423,0.5774266379428035
10,0,1,0,0.3471807769688556,0.3264096069836749,0.6735903839525305
11,1,1,1,0.059183293776832124,0.4704083515660425,0.5295916453428746
12,1,1,1,0.5164656324336871,0.24176718163827365,0.7582328140719607
13,0,1,0,0.0698677928398922,0.4650661023985625,0.5349338952384547
14,0,1,0,0.28908890782431496,0.35545554489791453,0.6445444527222295
15,1,0,0,0.10691559962451175,0.5534577987722304,0.4465421991477187
16,1,1,1,0.12111646027413625,0.43944176771593113,0.5605582279900674
17,0,1,0,0.35816413094344013,0.3209179337230422,0.6790820646664824
18,1,0,0,0.6190273599313131,0.8095136794360615,0.19048631950474837
19,1,1,1,0.6480682259791264,0.17596588443317418,0.8240341104123006
