campaign_id,model_id,model_code,training_seed,repeat_index,repeat_number,rng_bit_generator,rng_entropy,rng_state_words,method_id,policy,nominal_shots,checkpoint,checkpoint_sha256,exact_accuracy,n_points,accuracy,exact_label_flip_rate,mean_shots,median_shots,p90_shots,p95_shots,stop_fraction_128,stop_fraction_512,stop_fraction_2048,cap_hit,cap_hit_fraction,total_shots,alpha,cp_tail_probability
l4-base-seed-30-repeat-000,l4-base,0,30,0,1,PCG64,2026:4:0:30:0,1666557117:2841964317:2574538966:1997696782,fixed-128,fixed,128,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-30/20260728T115856.037957Z-3f5107c4eb/checkpoint.npz,9eda0340bb887554338544c46552eedeaa2970151f7c2d48e4a36e2d47c76f33,0.851,1000,0.85,0.025,128.0,128.0,128.0,128.0,1.0,0.0,0.0,0,0.0,128000,,
l4-base-seed-30-repeat-000,l4-base,0,30,0,1,PCG64,2026:4:0:30:0,1666557117:2841964317:2574538966:1997696782,fixed-512,fixed,512,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-30/20260728T115856.037957Z-3f5107c4eb/checkpoint.npz,9eda0340bb887554338544c46552eedeaa2970151f7c2d48e4a36e2d47c76f33,0.851,1000,0.846,0.011,512.0,512.0,512.0,512.0,0.0,1.0,0.0,0,0.0,512000,,
l4-base-seed-30-repeat-000,l4-base,0,30,0,1,PCG64,2026:4:0:30:0,1666557117:2841964317:2574538966:1997696782,fixed-2048,fixed,2048,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-30/20260728T115856.037957Z-3f5107c4eb/checkpoint.npz,9eda0340bb887554338544c46552eedeaa2970151f7c2d48e4a36e2d47c76f33,0.851,1000,0.85,0.009,2048.0,2048.0,2048.0,2048.0,0.0,0.0,1.0,0,0.0,2048000,,
l4-base-seed-30-repeat-000,l4-base,0,30,0,1,PCG64,2026:4:0:30:0,1666557117:2841964317:2574538966:1997696782,adaptive,clopper-pearson-sequential,,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-30/20260728T115856.037957Z-3f5107c4eb/checkpoint.npz,9eda0340bb887554338544c46552eedeaa2970151f7c2d48e4a36e2d47c76f33,0.851,1000,0.85,0.009,307.712,128.0,512.0,2048.0,0.844,0.078,0.078,35,0.035,307712,0.05,0.008333333333333333
l4-base-seed-30-repeat-001,l4-base,0,30,1,2,PCG64,2026:4:0:30:1,3891468001:280113439:1805110150:1010253255,fixed-128,fixed,128,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-30/20260728T115856.037957Z-3f5107c4eb/checkpoint.npz,9eda0340bb887554338544c46552eedeaa2970151f7c2d48e4a36e2d47c76f33,0.851,1000,0.849,0.026,128.0,128.0,128.0,128.0,1.0,0.0,0.0,0,0.0,128000,,
l4-base-seed-30-repeat-001,l4-base,0,30,1,2,PCG64,2026:4:0:30:1,3891468001:280113439:1805110150:1010253255,fixed-512,fixed,512,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-30/20260728T115856.037957Z-3f5107c4eb/checkpoint.npz,9eda0340bb887554338544c46552eedeaa2970151f7c2d48e4a36e2d47c76f33,0.851,1000,0.849,0.012,512.0,512.0,512.0,512.0,0.0,1.0,0.0,0,0.0,512000,,
l4-base-seed-30-repeat-001,l4-base,0,30,1,2,PCG64,2026:4:0:30:1,3891468001:280113439:1805110150:1010253255,fixed-2048,fixed,2048,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-30/20260728T115856.037957Z-3f5107c4eb/checkpoint.npz,9eda0340bb887554338544c46552eedeaa2970151f7c2d48e4a36e2d47c76f33,0.851,1000,0.85,0.011,2048.0,2048.0,2048.0,2048.0,0.0,0.0,1.0,0,0.0,2048000,,
l4-base-seed-30-repeat-001,l4-base,0,30,1,2,PCG64,2026:4:0:30:1,3891468001:280113439:1805110150:1010253255,adaptive,clopper-pearson-sequential,,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-30/20260728T115856.037957Z-3f5107c4eb/checkpoint.npz,9eda0340bb887554338544c46552eedeaa2970151f7c2d48e4a36e2d47c76f33,0.851,1000,0.85,0.011,311.552,128.0,512.0,2048.0,0.842,0.078,0.08,40,0.04,311552,0.05,0.008333333333333333
l4-base-seed-30-repeat-002,l4-base,0,30,2,3,PCG64,2026:4:0:30:2,3680284751:59560861:3678892201:1854355431,fixed-128,fixed,128,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-30/20260728T115856.037957Z-3f5107c4eb/checkpoint.npz,9eda0340bb887554338544c46552eedeaa2970151f7c2d48e4a36e2d47c76f33,0.851,1000,0.856,0.027,128.0,128.0,128.0,128.0,1.0,0.0,0.0,0,0.0,128000,,
l4-base-seed-30-repeat-002,l4-base,0,30,2,3,PCG64,2026:4:0:30:2,3680284751:59560861:3678892201:1854355431,fixed-512,fixed,512,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-30/20260728T115856.037957Z-3f5107c4eb/checkpoint.npz,9eda0340bb887554338544c46552eedeaa2970151f7c2d48e4a36e2d47c76f33,0.851,1000,0.856,0.013,512.0,512.0,512.0,512.0,0.0,1.0,0.0,0,0.0,512000,,
