config_id,seed,n_qubits,layers,parameters,template_cz,train_accuracy,test_accuracy,test_mean_true_margin,final_loss,success,status,nfev,checkpoint_sha256,raw_result_path
1q-l4-paper_squared,30,1,4,20,0,0.895,0.86925,0.5693661728175111,0.19326848646846898,True,0,4137,9eda0340bb887554338544c46552eedeaa2970151f7c2d48e4a36e2d47c76f33,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-30/20260728T115856.037957Z-3f5107c4eb
1q-l4-paper_squared,31,1,4,20,0,0.8,0.81225,0.4777587469776688,0.2519702260622729,True,0,2247,257b0b28358166388b968d6a3ee6a413b96424934a44b90409e70ecc25803b6b,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-31/20260728T115928.068378Z-3e28e9a70e
1q-l4-paper_squared,32,1,4,20,0,0.8,0.813,0.4781803924982553,0.2520500297489041,True,0,1785,3b44636da4af463139e059f378615b23dca9f0eb80a88932778b1ad961ffaedc,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-32/20260728T115950.999802Z-49d8a88f18
1q-l4-paper_squared,33,1,4,20,0,0.89,0.87475,0.5583980827670864,0.2098086336864032,True,0,3591,84277dd1284c4652ec6485d05c8ca33eb167284ad33e1075cd943b46b129e61f,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-33/20260728T120009.302246Z-02dd522f96
1q-l4-paper_squared,34,1,4,20,0,0.8,0.81225,0.47776056253809723,0.2519702142548608,True,0,3465,aa49e7585474b8ca87bb8c73c75dafc61fe63a02d012f66cd24f8ccd03f4f0fc,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-34/20260728T120028.841816Z-857625ef03
1q-l2-paper_squared,30,1,2,10,0,0.8,0.79725,0.4568491781515852,0.2611895590362514,True,0,374,e9f014713394d69c330093755327e9b2715fdd1a673eb100ff05dd13f2191dfb,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M2/1q-l2-paper_squared/seed-30/20260728T120155.302704Z-786eacac22
1q-l2-paper_squared,31,1,2,10,0,0.77,0.74575,0.4104260005180165,0.29037128447054633,True,0,187,fca9266a39145be5ee8f3a892d537351fdf70aaa8262b7b0cf491004b877edc4,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M2/1q-l2-paper_squared/seed-31/20260728T120200.208096Z-0a7f6d42ab
1q-l2-paper_squared,32,1,2,10,0,0.8,0.79725,0.45685080945891576,0.26118955906812347,True,0,242,d4f471fd293de7023d891b424737f1d68c8bf93401f304e3a65305eb3cb2d6a5,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M2/1q-l2-paper_squared/seed-32/20260728T120210.628323Z-54b0de087e
1q-l2-paper_squared,33,1,2,10,0,0.8,0.79725,0.45685154176602066,0.2611895589814967,True,0,341,4c3b881277e87deed6c88b235ed08bb6029359ab7bc285735b082bf1581d3cf2,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M2/1q-l2-paper_squared/seed-33/20260728T120220.729583Z-371848ab1e
1q-l2-paper_squared,34,1,2,10,0,0.8,0.79725,0.45684633851115103,0.26118955932000626,True,0,297,90301f052454a9bbb088cec63aef03a46d8445d9a4e664224fe42c733a23b877,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M2/1q-l2-paper_squared/seed-34/20260728T120225.143420Z-432afdcd39
2q-l2-separable-paper_squared,30,2,2,20,0,0.51,0.516,0.03199999999655707,0.49000000001700383,True,0,273,e07553b7f3f984dcc2da03360cae9e167ddf096f95e752c52c54c246206f7ad6,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M2/2q-l2-separable-paper_squared/seed-30/20260728T120156.860028Z-a4f1c77e8e
2q-l2-separable-paper_squared,31,2,2,20,0,0.51,0.516,0.0319999999736282,0.4900000000641046,True,0,315,62a6831a7732086f82e75dc0a7094ed8755e62c0a76dbe15fdf40690c570db4c,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M2/2q-l2-separable-paper_squared/seed-31/20260728T120200.923610Z-742a59aac5
2q-l2-separable-paper_squared,32,2,2,20,0,0.51,0.516,0.031999999954256675,0.4900000000978369,True,0,273,1dec2f782d124dd655804767b288092c0e298f7110b8871c03f086e0803a9cfe,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M2/2q-l2-separable-paper_squared/seed-32/20260728T120211.504305Z-c0b497fcc6
2q-l2-separable-paper_squared,33,2,2,20,0,0.51,0.516,0.03199999998344968,0.4900000000843676,True,0,273,abb27036728c88fe011879a8cf1683bf82ec20747b2f2765e93510a7de3d94e8,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M2/2q-l2-separable-paper_squared/seed-33/20260728T120221.820114Z-55fc3fe049
2q-l2-separable-paper_squared,34,2,2,20,0,0.51,0.516,0.03199999977653936,0.4900000004209077,True,0,441,ca51f56ab1c0f17fcd9f3a79d11acc7db59abfab31d904b385a293008e6ded39,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M2/2q-l2-separable-paper_squared/seed-34/20260728T120227.740905Z-3d2ecfbc6d
