model_id,source_config_id,source_stage,seed,layers,parameter_count,layer_reduction_fraction_vs_base,parameter_reduction_fraction_vs_base,removed_layer_zero_based,selected_layer_zero_based,train_accuracy,test_accuracy,train_mean_true_margin,test_mean_true_margin,final_loss,optimizer_success,optimizer_status,optimizer_message,optimizer_nfev,base_nfev,pipeline_nfev,pipeline_definition,initialization_contract_verified,checkpoint,checkpoint_sha256,raw_result_path,raw_result_sha256
l4-base,1q-l4-paper_squared,M1,30,4,20,0.0,0.0,,,0.895,0.86925,0.6134630270630619,0.5693661728175111,0.19326848646846898,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,4137,4137,4137,model_optimizer_nfev,True,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-30/20260728T115856.037957Z-3f5107c4eb/checkpoint.npz,9eda0340bb887554338544c46552eedeaa2970151f7c2d48e4a36e2d47c76f33,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-30/20260728T115856.037957Z-3f5107c4eb/result.json,1db9c5a03939d9106a5467746a7bb5290a23f7ef5020bc1ed4ff45e5813f456b
l4-base,1q-l4-paper_squared,M1,31,4,20,0.0,0.0,,,0.8,0.81225,0.49605954787545437,0.4777587469776688,0.2519702260622729,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2247,2247,2247,model_optimizer_nfev,True,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-31/20260728T115928.068378Z-3e28e9a70e/checkpoint.npz,257b0b28358166388b968d6a3ee6a413b96424934a44b90409e70ecc25803b6b,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-31/20260728T115928.068378Z-3e28e9a70e/result.json,aec98344acc657b45723aff10962590ab6d9f439896322b17dd7c9a4ccfac82d
l4-base,1q-l4-paper_squared,M1,32,4,20,0.0,0.0,,,0.8,0.813,0.49589994050219177,0.4781803924982553,0.2520500297489041,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1785,1785,1785,model_optimizer_nfev,True,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-32/20260728T115950.999802Z-49d8a88f18/checkpoint.npz,3b44636da4af463139e059f378615b23dca9f0eb80a88932778b1ad961ffaedc,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-32/20260728T115950.999802Z-49d8a88f18/result.json,af8d92288525e11b6350690b7138bb0d3dce620ea4cad91ff1faebc8c4fb4359
l4-base,1q-l4-paper_squared,M1,33,4,20,0.0,0.0,,,0.89,0.87475,0.5803827326271936,0.5583980827670864,0.2098086336864032,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3591,3591,3591,model_optimizer_nfev,True,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-33/20260728T120009.302246Z-02dd522f96/checkpoint.npz,84277dd1284c4652ec6485d05c8ca33eb167284ad33e1075cd943b46b129e61f,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-33/20260728T120009.302246Z-02dd522f96/result.json,aee5683de3129de7809153bd4080447b4dde80c0a44915c221aa92ae3f404378
l4-base,1q-l4-paper_squared,M1,34,4,20,0.0,0.0,,,0.8,0.81225,0.49605957149027846,0.47776056253809723,0.2519702142548608,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3465,3465,3465,model_optimizer_nfev,True,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-34/20260728T120028.841816Z-857625ef03/checkpoint.npz,aa49e7585474b8ca87bb8c73c75dafc61fe63a02d012f66cd24f8ccd03f4f0fc,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-34/20260728T120028.841816Z-857625ef03/result.json,9e59f781edc0a40ef2e0981b39ab1ef463dc9885865dd2ecbc9ac7c36cdad933
l4-to-l3-pruned,l4-to-l3-pruned,M3,30,3,15,0.25,0.25,1,1,0.885,0.87,0.5721041274993145,0.53590677792629,0.21394793625034267,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,384,4137,4521,base_nfev + finetune_nfev,True,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-30/20260728T120924.614692Z-567961a57b/checkpoint.npz,00b9e3df4ef269c4d0ce87e75e6e30b0dbdae7d5d25f9db13c141b120de636ba,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-30/20260728T120924.614692Z-567961a57b/result.json,eb486c571cbcbd6ee231f84ad8eeb7350753e57d54a0f883e851c540d2af97b8
l4-to-l3-pruned,l4-to-l3-pruned,M3,31,3,15,0.25,0.25,1,1,0.8,0.8125,0.49405433583801645,0.4767856240015132,0.25297283208099175,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,288,2247,2535,base_nfev + finetune_nfev,True,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-31/20260728T120931.947242Z-4ae93c1d9b/checkpoint.npz,2a19c34707627836c1bbfc841e1c8e03b445d4d7be5506bb2c0aa2e96d0fcf89,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-31/20260728T120931.947242Z-4ae93c1d9b/result.json,976aa9e3d16b84e796fd80338a70acec019fb5877509787a5d0b3a193a89553e
l4-to-l3-pruned,l4-to-l3-pruned,M3,32,3,15,0.25,0.25,2,2,0.8,0.8125,0.49405438349092634,0.47679264142672456,0.252972808254537,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,544,1785,2329,base_nfev + finetune_nfev,True,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-32/20260728T120941.763238Z-e777323387/checkpoint.npz,af344cf97b6b69e327747256bc37f2e4dfdfb03ea339fa8bd0edbea1349ce6cd,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-32/20260728T120941.763238Z-e777323387/result.json,723a3a16bfeee756922ce56542ae7a3597ceafffeb89e141d3d13baa4c2a5c0f
l4-to-l3-pruned,l4-to-l3-pruned,M3,33,3,15,0.25,0.25,3,3,0.8,0.8125,0.49405431906778424,0.4767878165019568,0.25297284046610785,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,416,3591,4007,base_nfev + finetune_nfev,True,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-33/20260728T120949.041701Z-58d96d55fd/checkpoint.npz,96af2cabb35ccea499945677ffddf4a0d06c2c17ce9001b0a839507140c9b648,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-33/20260728T120949.041701Z-58d96d55fd/result.json,dee3e443e07b35e847d677068d414fa9096502a6b1eea08a92d140e1dd2dc947
l4-to-l3-pruned,l4-to-l3-pruned,M3,34,3,15,0.25,0.25,2,2,0.8,0.8125,0.49405438538852103,0.4767884944258477,0.2529728073057395,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,432,3465,3897,base_nfev + finetune_nfev,True,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-34/20260728T120959.501439Z-e6df1b4082/checkpoint.npz,84c21292cd8471fbaafdf9cb3c872dbf4192b3ff527c4fc4aa0782c7793b7d7d,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-to-l3-pruned/seed-34/20260728T120959.501439Z-e6df1b4082/result.json,fdbe74384ba86d4253f820d99c946931adad3cbce4b3a98f483ff33e31355174
