model_id,training_seed,method_id,repeat_count,exact_accuracy,accuracy_mean,accuracy_sample_sd,exact_label_flip_rate_mean,exact_label_flip_rate_sample_sd,mean_shots_mean,mean_shots_sample_sd,median_shots_mean,median_shots_sample_sd,p90_shots_mean,p90_shots_sample_sd,p95_shots_mean,p95_shots_sample_sd,stop_fraction_128_mean,stop_fraction_128_sample_sd,stop_fraction_512_mean,stop_fraction_512_sample_sd,stop_fraction_2048_mean,stop_fraction_2048_sample_sd,cap_hit_mean,cap_hit_sample_sd,cap_hit_fraction_mean,cap_hit_fraction_sample_sd,total_shots_mean,total_shots_sample_sd
l4-base,30,fixed-128,100,0.851,0.84876,0.004311413089496628,0.02462,0.004366493172588574,128.0,0.0,128.0,0.0,128.0,0.0,128.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128000.0,0.0
l4-base,30,fixed-512,100,0.851,0.85048,0.0029006443032087523,0.01216,0.0025612496949731396,512.0,0.0,512.0,0.0,512.0,0.0,512.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512000.0,0.0
l4-base,30,fixed-2048,100,0.851,0.85087,0.00207756170215535,0.00659,0.0022522491564270285,2048.0,0.0,2048.0,0.0,2048.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2048000.0,0.0
l4-base,30,adaptive,100,0.851,0.85085,0.0020859075005881995,0.00665,0.002208226126614443,303.5648,7.843496066516168,128.0,0.0,512.0,0.0,2048.0,0.0,0.84256,0.005180226585270911,0.0825,0.006278872703299727,0.07493999999999999,0.004694333571101193,34.25,3.488436887660707,0.03425,0.0034884368876607064,303564.8,7843.496066516164
l4-base,31,fixed-128,100,0.799,0.79406,0.005018792965273909,0.02884,0.004244354539213879,128.0,0.0,128.0,0.0,128.0,0.0,128.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128000.0,0.0
l4-base,31,fixed-512,100,0.799,0.7958500000000001,0.0032733234586038826,0.01375,0.003131382371342656,512.0,0.0,512.0,0.0,512.0,0.0,512.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512000.0,0.0
l4-base,31,fixed-2048,100,0.799,0.79659,0.0021560110942163186,0.0062900000000000005,0.0018978722801914758,2048.0,0.0,2048.0,0.0,2048.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2048000.0,0.0
l4-base,31,adaptive,100,0.799,0.79654,0.002253706262846143,0.00638,0.0019528792522164225,330.17984,8.289150302764343,128.0,0.0,513.5360000000004,15.360000000003492,2048.0,0.0,0.82033,0.006187401667415753,0.09296,0.007012139545823444,0.08671,0.004854020514121787,41.6,3.1908961408698624,0.0416,0.0031908961408698617,330179.84,8289.150302764341
l4-base,32,fixed-128,100,0.798,0.7950200000000001,0.0035161388373089516,0.02866,0.004579753422853835,128.0,0.0,128.0,0.0,128.0,0.0,128.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128000.0,0.0
l4-base,32,fixed-512,100,0.798,0.79642,0.0027235597621087355,0.01396,0.002926438177040548,512.0,0.0,512.0,0.0,512.0,0.0,512.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512000.0,0.0
l4-base,32,fixed-2048,100,0.798,0.79793,0.0019604936504705544,0.00647,0.0020765890836230024,2048.0,0.0,2048.0,0.0,2048.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2048000.0,0.0
l4-base,32,adaptive,100,0.798,0.7978700000000001,0.001972820367397957,0.00645,0.0020566472667421557,332.04608,7.312345072422515,128.0,0.0,512.0,0.0,2048.0,0.0,0.81883,0.005579643737948154,0.09362,0.0064366061701722115,0.08755,0.0043166929916127195,43.15,3.1857479340007266,0.04315,0.0031857479340007266,332046.08,7312.345072422514
l4-base,33,fixed-128,100,0.867,0.866,0.003601346549514083,0.02264,0.004132942307994648,128.0,0.0,128.0,0.0,128.0,0.0,128.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128000.0,0.0
l4-base,33,fixed-512,100,0.867,0.86701,0.0027135834893246545,0.01279,0.002910430562752883,512.0,0.0,512.0,0.0,512.0,0.0,512.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512000.0,0.0
l4-base,33,fixed-2048,100,0.867,0.86722,0.002134753315297045,0.00762,0.002465028120805853,2048.0,0.0,2048.0,0.0,2048.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2048000.0,0.0
l4-base,33,adaptive,100,0.867,0.86724,0.002220746985074432,0.00766,0.002475006376892101,280.30976,7.153339813490809,128.0,0.0,512.0,0.0,2048.0,0.0,0.85624,0.006265377043319066,0.08054,0.006655171908471871,0.06322,0.0040491425704160585,34.38,2.55358729649254,0.03438,0.0025535872964925397,280309.76,7153.339813490809
l4-base,34,fixed-128,100,0.799,0.7933600000000001,0.004689381945449002,0.02972,0.004415491553220961,128.0,0.0,128.0,0.0,128.0,0.0,128.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128000.0,0.0
l4-base,34,fixed-512,100,0.799,0.79579,0.0031278966373167435,0.01429,0.0033068493351304236,512.0,0.0,512.0,0.0,512.0,0.0,512.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512000.0,0.0
l4-base,34,fixed-2048,100,0.799,0.7968500000000001,0.002275805995530581,0.00655,0.002487849259781215,2048.0,0.0,2048.0,0.0,2048.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2048000.0,0.0
l4-base,34,adaptive,100,0.799,0.79674,0.0022813251509691585,0.0066,0.002482260292881502,330.03776,7.483551996697343,128.0,0.0,512.0,0.0,2048.0,0.0,0.8205,0.006501748016704971,0.09284,0.0068042173493630944,0.08666,0.004204903342671756,42.0,3.3090021078105933,0.042,0.003309002107810593,330037.76,7483.551996697339
l4-to-l3-pruned,30,fixed-128,100,0.849,0.8471,0.004013864859597436,0.0274,0.004306443375391641,128.0,0.0,128.0,0.0,128.0,0.0,128.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128000.0,0.0
l4-to-l3-pruned,30,fixed-512,100,0.849,0.8481799999999999,0.0031889328825318586,0.01558,0.003624217087172,512.0,0.0,512.0,0.0,512.0,0.0,512.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512000.0,0.0
l4-to-l3-pruned,30,fixed-2048,100,0.849,0.84736,0.002496543064464798,0.00826,0.0023424928446577433,2048.0,0.0,2048.0,0.0,2048.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2048000.0,0.0
l4-to-l3-pruned,30,adaptive,100,0.849,0.84739,0.002518196404435751,0.00831,0.0023471237502504846,319.232,7.987073192466575,128.0,0.0,512.0,0.0,2048.0,0.0,0.82116,0.0069394495167815285,0.09905,0.007742542844374172,0.07979,0.004645612679907482,42.19,2.9428736042353316,0.04219,0.002942873604235331,319232.0,7987.073192466573
l4-to-l3-pruned,31,fixed-128,100,0.795,0.7943600000000001,0.004650448007092081,0.02912,0.00492833489613732,128.0,0.0,128.0,0.0,128.0,0.0,128.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128000.0,0.0
l4-to-l3-pruned,31,fixed-512,100,0.795,0.79549,0.003529085496902061,0.01481,0.0029187481750042963,512.0,0.0,512.0,0.0,512.0,0.0,512.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512000.0,0.0
l4-to-l3-pruned,31,fixed-2048,100,0.795,0.79629,0.002239656358922193,0.00701,0.002176527676661321,2048.0,0.0,2048.0,0.0,2048.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2048000.0,0.0
l4-to-l3-pruned,31,adaptive,100,0.795,0.79635,0.002253504565844684,0.00709,0.0022251773280828973,333.22496,7.422659690924318,128.0,0.0,512.0,0.0,2048.0,0.0,0.8194,0.0066469405128839485,0.09214,0.0073677155430453695,0.08846,0.004300387579432036,43.79,3.616167400254953,0.04379,0.003616167400254953,333224.96,7422.659690924321
l4-to-l3-pruned,32,fixed-128,100,0.795,0.79389,0.004299154250864617,0.02849,0.004198352250128807,128.0,0.0,128.0,0.0,128.0,0.0,128.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128000.0,0.0
